ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
A50108,-22.90779,-43.20013,2026-04-07 16:22:08-03:00,0,165,2026-04-07 16:22:16-03:00,2026-04-07 16:22:17-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,8.0,1.0
D33014,-22.84576,-43.3241,2026-04-07 16:19:20-03:00,19,926,2026-04-07 16:19:30-03:00,2026-04-07 16:19:33-03:00,2026-04-07 16:43:46,2026-04-07,16,19,Tuesday,10.0,3.0
A29054,-22.96478,-43.21516,2026-04-07 16:24:08-03:00,22,476,2026-04-07 16:24:19-03:00,2026-04-07 16:24:34-03:00,2026-04-07 16:43:46,2026-04-07,16,24,Tuesday,11.0,15.0
B10089,-22.81473,-43.18715,2026-04-07 16:14:05-03:00,0,634,2026-04-07 16:14:11-03:00,2026-04-07 16:14:35-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,6.0,24.0
A50004,-22.94694,-43.25676,2026-04-07 16:13:41-03:00,24,220,2026-04-07 16:13:49-03:00,2026-04-07 16:14:06-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,8.0,17.0
B32717,-22.87277,-43.3388,2026-04-07 15:49:25-03:00,3,SP265,2026-04-07 15:49:34-03:00,2026-04-07 15:49:54-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,9.0,20.0
D53625,-22.91456,-43.6816,2026-04-07 16:22:33-03:00,0,759,2026-04-07 16:22:33-03:00,2026-04-07 16:22:43-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,0.0,10.0
A71532,-22.90259,-43.17576,2026-04-07 15:49:47-03:00,20,100,2026-04-07 15:49:56-03:00,2026-04-07 15:50:16-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,9.0,20.0
C47735,-22.92663,-43.34132,2026-04-07 16:25:57-03:00,75,611,2026-04-07 16:27:03-03:00,2026-04-07 16:27:17-03:00,2026-04-07 16:43:46,2026-04-07,16,25,Tuesday,66.0,14.0
D13063,-22.90484,-43.37999,2026-04-07 15:45:54-03:00,43,803,2026-04-07 15:45:58-03:00,2026-04-07 15:46:10-03:00,2026-04-07 16:43:46,2026-04-07,15,45,Tuesday,4.0,12.0
D86079,-22.96712,-43.58943,2026-04-07 15:46:11-03:00,31,866,2026-04-07 15:46:14-03:00,2026-04-07 15:46:19-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,3.0,5.0
B32516,-22.84217,-43.37273,2026-04-07 16:18:25-03:00,46,SR399,2026-04-07 16:18:33-03:00,2026-04-07 16:19:00-03:00,2026-04-07 16:43:46,2026-04-07,16,18,Tuesday,8.0,27.0
C30191,-22.93959,-43.3367,2026-04-07 16:27:07-03:00,18,343,2026-04-07 16:27:56-03:00,2026-04-07 16:28:18-03:00,2026-04-07 16:43:46,2026-04-07,16,27,Tuesday,49.0,22.0
C47511,-22.97799,-43.41621,2026-04-07 16:13:23-03:00,28,613,2026-04-07 16:13:27-03:00,2026-04-07 16:13:55-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,4.0,28.0
D13018,-22.88891,-43.41417,2026-04-07 16:12:35-03:00,26,SP801,2026-04-07 16:12:44-03:00,2026-04-07 16:12:54-03:00,2026-04-07 16:43:46,2026-04-07,16,12,Tuesday,9.0,10.0
D86121,-22.87567,-43.46894,2026-04-07 15:59:20-03:00,27,SP864,2026-04-07 15:59:26-03:00,2026-04-07 15:59:45-03:00,2026-04-07 16:43:46,2026-04-07,15,59,Tuesday,6.0,19.0
D53518,-22.8756,-43.45856,2026-04-07 16:31:38-03:00,35,786,2026-04-07 16:31:45-03:00,2026-04-07 16:31:55-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,7.0,10.0
B32668,-22.84795,-43.31956,2026-04-07 16:16:01-03:00,11,688,2026-04-07 16:16:06-03:00,2026-04-07 16:16:27-03:00,2026-04-07 16:43:46,2026-04-07,16,16,Tuesday,5.0,21.0
