ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
C50130,"-22,92067","-43,22313",1775499631000,6,302,1775499639000,1775499655000,2026-04-06 16:20:49
C50164,"-22,91678","-43,19518",1775499631000,0,435,1775499639000,1775499655000,2026-04-06 16:20:49
C50114,"-23,00157","-43,36499",1775499631000,0,302,1775499639000,1775499655000,2026-04-06 16:20:49
A50188,"-22,92063","-43,25903",1775499613000,24,435,1775499639000,1775499655000,2026-04-06 16:20:49
C50144,"-22,95136","-43,25871",1775499629000,39,301,1775499639000,1775499655000,2026-04-06 16:20:49
C50015,"-22,99143","-43,50438",1775499620000,0,810,1775499639000,1775499655000,2026-04-06 16:20:49
C50208,"-22,92966","-43,23727",1775499630000,0,608,1775499639000,1775499655000,2026-04-06 16:20:49
C50198,"-22,93707","-43,1837",1775499632000,20,435,1775499639000,1775499655000,2026-04-06 16:20:49
C50209,"-22,97908","-43,23093",1775499631000,0,435,1775499639000,1775499655000,2026-04-06 16:20:49
C50106,"-23,00162","-43,3654",1775499535000,0,645,1775499639000,1775499655000,2026-04-06 16:20:49
C50106,"-23,00162","-43,36541",1775499565000,0,645,1775499639000,1775499655000,2026-04-06 16:20:49
C50124,"-23,01323","-43,29749",1775499633000,46,LECD137,1775499639000,1775499655000,2026-04-06 16:20:49
C50106,"-23,00162","-43,36542",1775499595000,0,645,1775499639000,1775499655000,2026-04-06 16:20:49
C50120,"-22,94676","-43,37197",1775499631000,33,SP810,1775499639000,1775499655000,2026-04-06 16:20:49
C50106,"-23,00162","-43,36542",1775499625000,0,645,1775499639000,1775499655000,2026-04-06 16:20:49
A50150,"-22,91555","-43,20808",1775499633000,0,220,1775499639000,1775499655000,2026-04-06 16:20:49
A50088,"-22,92338","-43,23158",1775499633000,29,608,1775499639000,1775499655000,2026-04-06 16:20:49
C50112,"-22,92911","-43,25403",1775499632000,0,302,1775499639000,1775499655000,2026-04-06 16:20:49
C50087,"-22,97419","-43,28568",1775499633000,10,301,1775499640000,1775499655000,2026-04-06 16:20:49
A50040,"-22,97295","-43,28439",1775499633000,0,645,1775499640000,1775499655000,2026-04-06 16:20:49
C50038,"-22,98836","-43,43428",1775499633000,0,810,1775499640000,1775499655000,2026-04-06 16:20:49
A50127,"-22,96659","-43,18898",1775499633000,0,435,1775499640000,1775499655000,2026-04-06 16:20:49
A50104,"-22,95501","-43,19773",1775499634000,38,LECD129,1775499640000,1775499655000,2026-04-06 16:20:49
A50023,"-22,91944","-43,38972",1775499634000,35,865,1775499640000,1775499655000,2026-04-06 16:20:49
A50158,"-23,0015","-43,36476",1775499635000,0,LECD129,1775499640000,1775499655000,2026-04-06 16:20:49
C50141,"-23,00162","-43,36541",1775499632000,0,301,1775499640000,1775499655000,2026-04-06 16:20:49
A50036,"-22,91809","-43,21209",1775499635000,0,220,1775499640000,1775499655000,2026-04-06 16:20:49
C50073,"-22,92915","-43,25395",1775499635000,0,302,1775499640000,1775499655000,2026-04-06 16:20:49
C50068,"-22,94113","-43,25175",1775499634000,2,645,1775499640000,1775499655000,2026-04-06 16:20:49
